Día;Aves;08:00;10:00;16:00;Total_Huevos;Maple_A;Maple_S;Maple_J;Maple_B;Maple_C;Total_Maples;%Postura
1;2428,0;515,0;742,0;678,0;1935,0;45,0;7,0;0,0;12,0;0,0;64,0;79,7
2;2427,0;496,0;800,0;615,0;1911,0;42,0;7,0;0,0;14,0;0,0;63,0;78,7
3;2427,0;508,0;1017,0;397,0;1922,0;47,0;0,0;0,0;15,0;0,0;62,0;79,2
4;2427,0;548,0;905,0;465,0;1918,0;43,0;6,0;0,0;15,0;0,0;64,0;79,0
5;2427,0;581,0;931,0;434,0;1946,0;47,0;5,0;0,0;17,0;0,0;69,0;80,2
6;2427,0;581,0;949,0;461,0;1991,0;43,0;5,0;0,0;17,0;0,0;65,0;82,0
7;2427,0;542,0;1050,0;400,0;1992,0;43,0;4,0;0,0;19,0;0,0;66,0;82,1
8;2427,0;515,0;931,0;578,0;2027,0;48,0;6,0;0,0;13,0;0,0;67,0;83,5
9;;;;;;;;;;;;
10;;;;;;;;;;;;
11;;;;;;;;;;;;
12;;;;;;;;;;;;
13;;;;;;;;;;;;
14;;;;;;;;;;;;
15;;;;;;;;;;;;
16;;;;;;;;;;;;
17;;;;;;;;;;;;
18;;;;;;;;;;;;
19;;;;;;;;;;;;
20;;;;;;;;;;;;
21;;;;;;;;;;;;
22;;;;;;;;;;;;
23;;;;;;;;;;;;
24;;;;;;;;;;;;
25;;;;;;;;;;;;
26;;;;;;;;;;;;
27;;;;;;;;;;;;
28;;;;;;;;;;;;
29;;;;;;;;;;;;
30;;;;;;;;;;;;
